date,team1,team2,team1_score,team2_score,spreads_json
20061110,Milwaukee,Washington,111,116,"{""19"": [""+6 -110"", ""-6 -110""], ""93"": [""+6 -110"", ""-6 -110""], ""238"": [""+6 -113"", ""-6 +103""]}"
20061110,Orlando,Indiana,83,93,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -110"", ""-5 +100""]}"
20061110,New York,Houston,94,103,"{""19"": [""+10.5 -110"", ""-10.5 -110""], ""93"": [""+10.5 -110"", ""-10.5 -110""], ""238"": [""+10 -101"", ""-10 -109""]}"
20061111,Indiana,Chicago,80,89,"{""19"": [""+6.5 -110"", ""-6.5 -110""], ""93"": [""+6.5 -110"", ""-6.5 -110""], ""238"": [""+6.5 +100"", ""-6.5 -110""]}"
20061111,Utah,Milwaukee,113,111,"{""19"": [""+1.5 -110"", ""-1.5 -110""], ""93"": [""+1.5 -110"", ""-1.5 -110""], ""238"": [""+2 -101"", ""-2 -109""]}"
20061111,Memphis,Phoenix,87,96,"{""19"": [""+11 -110"", ""-11 -110""], ""93"": [""+11 -110"", ""-11 -110""], ""238"": [""+11 -102"", ""-11 -108""]}"
20061111,Detroit,Golden State,79,111,"{""19"": [""+3.5 -110"", ""-3.5 -110""], ""93"": [""+3.5 -110"", ""-3.5 -110""], ""238"": [""+3.5 -106"", ""-3.5 -104""]}"
20061111,Boston,Cleveland,93,94,"{""19"": [""+11 -110"", ""-11 -110""], ""93"": [""+11 -110"", ""-11 -110""], ""238"": [""+10.5 -103"", ""-10.5 -107""]}"
20061111,New York,San Antonio,92,100,"{""19"": [""+13 -110"", ""-13 -110""], ""93"": [""+13.5 -110"", ""-13.5 -110""], ""238"": [""+13 -107"", ""-13 -103""]}"
20061111,Orlando,Minnesota,109,98,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+5 -125"", ""-5 +115""]}"
20061112,Memphis,L.A. Lakers,81,91,"{""19"": [""+9 -110"", ""-9 -110""], ""93"": [""+9 -110"", ""-9 -110""], ""238"": [""+9 -105"", ""-9 -105""]}"
20061112,New Orleans,L.A. Clippers,76,92,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -107"", ""-5.5 -103""]}"
20061112,Houston,Miami,94,72,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+2 -102"", ""-2 -108""]}"
20061112,Denver,Charlotte,108,101,"{""19"": [""-3.5 -110"", ""+3.5 -110""], ""93"": [""-3.5 -110"", ""+3.5 -110""], ""238"": [""-3.5 -105"", ""+3.5 -105""]}"
20061112,Dallas,Portland,103,96,"{""19"": [""-6 -110"", ""+6 -110""], ""93"": [""-6 -110"", ""+6 -110""], ""238"": [""-6 -101"", ""+6 -109""]}"
20061112,Brooklyn,Washington,87,87,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+6 +100"", ""-6 -110""]}"
20061112,Toronto,Sacramento,92,107,"{""19"": [""+7 -110"", ""-7 -110""], ""93"": [""+7 -110"", ""-7 -110""], ""238"": [""+7 -103"", ""-7 -107""]}"
20061113,Cleveland,New York,102,96,"{""19"": [""-5 -110"", ""+5 -110""], ""93"": [""-5 -110"", ""+5 -110""], ""238"": [""-5 -105"", ""+5 -105""]}"
20061113,Orlando,Boston,92,89,"{""19"": [""+1 -110"", ""-1 -110""], ""93"": [""+1 -110"", ""-1 -110""], ""238"": [""-1 +103"", ""+1 -113""]}"
20061114,L.A. Clippers,Utah,90,112,"{""19"": [""-1 -110"", ""+1 -110""], ""93"": [""-1 -110"", ""+1 -110""], ""238"": [""-1 -107"", ""+1 -103""]}"
20061114,Chicago,Dallas,99,111,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 -108"", ""-4 -102""]}"
20061114,Portland,Minnesota,89,101,"{""19"": [""+9 -110"", ""-9 -110""], ""93"": [""+8.5 -110"", ""-8.5 -110""], ""238"": [""+8.5 +100"", ""-8.5 -110""]}"
20061114,Denver,Miami,112,105,"{""19"": [""+3 -110"", ""-3 -110""], ""93"": [""+3 -110"", ""-3 -110""], ""238"": [""+3 -103"", ""-3 -107""]}"
